text,tokens,token_ids
"Hello, how are you doing today? I was thinking on going to the park to eat some waterm","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'm']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 76]"
"Hello, how are you doing today? I was thinking on going to the park to eat some waterme","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'me']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 1326]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermel","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'mel']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 17694]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelo","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'mel', 'o']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 17694, 78]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon.","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. T","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠT']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 309]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. Th","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠTh']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 536]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The t","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġt']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 256]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The th","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġth']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 294]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thi","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġth', 'i']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 294, 72]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thin","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthin']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 7888]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing a","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġa']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 257]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing ab","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġab']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 450]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing abo","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġab', 'o']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 450, 78]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing abou","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġab', 'ou']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 450, 280]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about w","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġw']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 266]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about wa","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwa']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 2082]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about wat","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwat']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 4383]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about wate","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġw', 'ate']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 266, 378]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about water","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about waterm","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'm']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 76]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about waterme","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'me']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 1326]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermel","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'mel']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 17694]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelo","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'mel', 'o']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 17694, 78]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon,","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, i","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġi']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 1312]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 220]"
