text,tokens,token_ids
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is t","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġt']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 256]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is th","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġth']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 294]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is tha","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġtha']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 28110]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that i","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġi']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 1312]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it i","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġi']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 1312]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is v","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġv']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 410]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is ve","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġve']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 1569]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is ver","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġver']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 3326]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very g","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġg']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 308]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very go","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġgo']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 467]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very goo","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġgo', 'o']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 467, 78]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very good","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġgood']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 922]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very good ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġgood', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 922, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very good f","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġgood', 'Ġf']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 922, 277]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very good fo","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġgood', 'Ġfo']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 922, 11511]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very good for","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġgood', 'Ġfor']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 922, 329]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very good for ","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġgood', 'Ġfor', 'Ġ']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 922, 329, 220]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very good for y","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġgood', 'Ġfor', 'Ġy']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 922, 329, 331]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very good for yo","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġgood', 'Ġfor', 'Ġyo']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 922, 329, 27406]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very good for you","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġgood', 'Ġfor', 'Ġyou']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 922, 329, 345]"
"Hello, how are you doing today? I was thinking on going to the park to eat some watermelon. The thing about watermelon, is that it is very good for you.","['Hello', ',', 'Ġhow', 'Ġare', 'Ġyou', 'Ġdoing', 'Ġtoday', '?', 'ĠI', 'Ġwas', 'Ġthinking', 'Ġon', 'Ġgoing', 'Ġto', 'Ġthe', 'Ġpark', 'Ġto', 'Ġeat', 'Ġsome', 'Ġwater', 'melon', '.', 'ĠThe', 'Ġthing', 'Ġabout', 'Ġwater', 'melon', ',', 'Ġis', 'Ġthat', 'Ġit', 'Ġis', 'Ġvery', 'Ġgood', 'Ġfor', 'Ġyou', '.']","[15496, 11, 703, 389, 345, 1804, 1909, 30, 314, 373, 3612, 319, 1016, 284, 262, 3952, 284, 4483, 617, 1660, 45690, 13, 383, 1517, 546, 1660, 45690, 11, 318, 326, 340, 318, 845, 922, 329, 345, 13]"
